Date,Open,High,Low,Close,Volume
2025-11-20 13:00:00,91934.01000000,91999.99000000,91688.00000000,91839.25000000,443.03933000
2025-11-20 14:00:00,91839.25000000,92541.92000000,91451.99000000,91529.36000000,1535.25700000
2025-11-20 15:00:00,91529.36000000,91682.60000000,90431.54000000,91103.19000000,2227.67187000
2025-11-20 16:00:00,91103.19000000,91171.78000000,89835.34000000,89869.88000000,1956.88604000
2025-11-20 17:00:00,89869.88000000,89911.73000000,87487.95000000,87878.10000000,5918.46185000
2025-11-20 18:00:00,87878.10000000,88158.49000000,86395.47000000,87233.81000000,5848.39149000
2025-11-20 19:00:00,87233.80000000,87769.23000000,86318.78000000,86486.27000000,3087.08206000
2025-11-20 20:00:00,86486.27000000,87146.29000000,86100.00000000,86921.28000000,2741.74748000
2025-11-20 21:00:00,86921.27000000,87131.07000000,86325.23000000,86462.97000000,1475.77763000
2025-11-20 22:00:00,86462.97000000,87674.23000000,86429.09000000,87282.60000000,1215.05710000
2025-11-20 23:00:00,87282.44000000,88250.00000000,87192.91000000,88065.97000000,1274.57142000
2025-11-21 00:00:00,88065.98000000,88173.09000000,86560.00000000,86637.23000000,1087.46036000
2025-11-21 01:00:00,86637.22000000,87498.94000000,86592.00000000,87285.24000000,845.00605000
2025-11-21 02:00:00,87285.24000000,87464.08000000,86834.81000000,87049.86000000,841.87222000
2025-11-21 03:00:00,87049.86000000,87067.52000000,85360.00000000,85444.93000000,3003.64405000
2025-11-21 04:00:00,85444.93000000,86135.58000000,85433.39000000,85821.34000000,1737.99681000
2025-11-21 05:00:00,85821.35000000,86119.19000000,85404.05000000,86053.09000000,1036.52858000
2025-11-21 06:00:00,86053.10000000,86459.53000000,85825.59000000,86195.08000000,1234.93355000
2025-11-21 07:00:00,86195.09000000,86255.02000000,85550.00000000,85581.30000000,1347.08347000
2025-11-21 08:00:00,85581.31000000,85769.86000000,82000.00000000,84049.39000000,10586.94545000
2025-11-21 09:00:00,84049.38000000,84709.89000000,83521.07000000,83643.45000000,4196.83535000
2025-11-21 10:00:00,83643.45000000,83988.40000000,82104.01000000,82207.84000000,4382.85302000
2025-11-21 11:00:00,82207.83000000,82911.99000000,81648.00000000,82703.61000000,5588.71507000
2025-11-21 12:00:00,82703.61000000,83340.72000000,82192.49000000,82309.66000000,2016.52315000
2025-11-21 13:00:00,82309.67000000,83618.13000000,80600.00000000,83285.35000000,9181.08228000
2025-11-21 14:00:00,83285.34000000,84427.79000000,83116.86000000,84115.28000000,4066.19195000
2025-11-21 15:00:00,84115.29000000,85496.00000000,83544.82000000,84850.00000000,5134.71956000
2025-11-21 16:00:00,84850.01000000,85103.42000000,82729.54000000,82932.47000000,4659.35985000
2025-11-21 17:00:00,82932.46000000,84919.60000000,82333.00000000,84919.59000000,2895.89154000
2025-11-21 18:00:00,84919.58000000,85572.82000000,84565.11000000,84877.07000000,2065.96878000
2025-11-21 19:00:00,84877.06000000,85083.31000000,83304.87000000,84577.11000000,2102.78190000
2025-11-21 20:00:00,84577.12000000,85025.71000000,84080.00000000,84209.30000000,1042.90060000
