Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26
2026-05-27 01:42:00,75964.44,75980.08,75964.43,75980.08,3.05979,75950.636,75943.3608,75955.86395409639,75950.46425040986
2026-05-27 01:43:00,75980.08,75989.63,75978.0,75982.0,6.87067,75954.636,75944.4234,75959.8848842354,75952.80023186098
2026-05-27 01:44:00,75982.01,75982.01,75970.74,75970.75,1.04067,75958.749,75945.1788,75961.55644050689,75954.12984431573
2026-05-27 01:45:00,75970.75,76012.37,75970.74,75992.41,7.65935,75963.4935,75946.6186,75966.30314196736,75956.96541140345
2026-05-27 01:46:00,75992.41,76002.0,75992.4,75996.01,2.01272,75968.426,75948.1786,75970.87342781854,75959.85760315134
2026-05-27 01:47:00,75996.01,75996.01,75996.0,75996.01,0.55407,75972.326,75949.7386,75974.74059276954,75962.53555847345
2026-05-27 01:48:00,75996.01,76028.17,75996.0,76019.99,15.10109,75976.4585,75951.53820000001,75981.70204003576,75966.79144303098
2026-05-27 01:49:00,76019.99,76019.99,75949.92,75949.92,78.04612,75977.19149999999,75951.9364,75976.81249541487,75965.54170651016
2026-05-27 01:50:00,75949.93,76023.98,75949.92,75993.81,109.57033,75977.6265,75953.12,75979.42749612028,75967.63565417608
2026-05-27 01:51:00,75993.81,76032.14,75993.8,76032.14,5.28469,75980.26999999999,75954.71059999999,75987.53711210177,75972.41375386673
2026-05-27 01:52:00,76032.14,76032.14,76018.42,76018.43,3.21999,75980.98250000001,75955.719,75992.28986408611,75975.82236469141
2026-05-27 01:53:00,76018.43,76032.02,76018.42,76021.1,3.02517,75980.95499999999,75956.9994,75996.72219268825,75979.17626360316
2026-05-27 01:54:00,76021.1,76066.93,76021.09,76042.38,51.31626,75982.6735,75959.4472,76003.74647073621,75983.85802185479
2026-05-27 01:55:00,76042.0,76070.0,76042.0,76070.0,5.41697,75986.15400000001,75961.8874,76013.93932139217,75990.2389091248
2026-05-27 01:56:00,76069.99,76082.94,76069.99,76072.01,5.27705,75990.499,75964.02,76022.87327194722,75996.29602696741
2026-05-27 01:57:00,76072.01,76078.03,76072.0,76078.02,3.23212,75996.0995,75966.5802,76031.35738395534,76002.34965459946
2026-05-27 01:58:00,76078.03,76089.7,76078.02,76089.69,2.2369,76004.74100000001,75968.805,76040.3316325776,76008.81930981431
2026-05-27 01:59:00,76089.7,76089.7,76085.0,76085.01,1.9349,76013.51,75970.7854,76047.20522756566,76014.46306464289
2026-05-27 02:00:00,76085.0,76104.02,76076.0,76076.01,12.30661,76021.5105,75972.60339999999,76051.63673101709,76019.02209689155
2026-05-27 02:01:00,76076.01,76076.01,76049.83,76049.84,2.97841,76025.7805,75974.1604,76051.36031086062,76021.30490452921
2026-05-27 02:02:00,76049.84,76054.85,76030.16,76034.0,8.83929,76028.47649999999,75975.40060000001,76048.68949380514,76022.2452819715
2026-05-27 02:03:00,76033.99,76066.67,76033.99,76066.66,2.76347,76032.7095,75977.17079999999,76051.45418706589,76025.53526108472
2026-05-27 02:04:00,76066.67,76069.99,76034.17,76051.93,9.0004,76036.76849999999,75978.5822,76051.52738905576,76027.4904269303
